ApplicantID,Age,Gender,Marital_Status,Education,Employment_Type,ApplicantIncome,LoanAmount,Loan_Term_Months,Credit_History,Property_Area,Loan_Status
1,24,Male,Married,Not Graduate,Salaried,79926,1044046,120,1,Rural,Approved
2,50,Female,Married,Not Graduate,Salaried,60750,685947,180,1,Rural,Approved
3,56,Male,Single,Graduate,Self Employed,18870,841526,120,1,Urban,Approved
4,39,Male,Married,Not Graduate,Salaried,51900,822653,120,1,Rural,Rejected
5,41,Female,Single,Graduate,Self Employed,34583,231242,120,1,Urban,Approved
6,44,Female,Married,Graduate,Salaried,57206,1199385,180,1,Urban,Approved
7,55,Female,Married,Graduate,Self Employed,16774,760913,300,1,Urban,Rejected
8,54,Male,Married,Graduate,Salaried,60711,978615,360,1,Semiurban,Approved
9,31,Male,Married,Not Graduate,Self Employed,17902,784425,360,1,Semiurban,Approved
10,54,Male,Married,Graduate,Self Employed,40013,1387535,120,1,Urban,Approved
11,54,Male,Married,Not Graduate,Self Employed,38259,825757,300,1,Semiurban,Approved
12,47,Female,Single,Not Graduate,Salaried,35875,1137934,240,1,Semiurban,Rejected
13,41,Male,Married,Not Graduate,Salaried,73979,421529,180,1,Rural,Approved
14,36,Male,Single,Graduate,Salaried,63285,631926,180,1,Urban,Approved
15,58,Male,Married,Graduate,Salaried,38558,1466438,360,0,Rural,Approved
16,54,Male,Married,Graduate,Salaried,14864,851035,120,0,Semiurban,Rejected
17,38,Male,Married,Graduate,Salaried,40592,104436,300,1,Semiurban,Approved
18,26,Male,Single,Not Graduate,Salaried,27526,1085469,300,1,Urban,Approved
19,25,Male,Married,Graduate,Salaried,35330,163049,180,1,Urban,Approved
20,24,Male,Married,Graduate,Salaried,54779,567996,300,1,Urban,Approved
21,42,Male,Married,Graduate,Salaried,22975,1085290,300,1,Rural,Approved
22,24,Male,Married,Graduate,Salaried,52397,842421,180,1,Rural,Approved
23,42,Male,Single,Graduate,Salaried,39102,1463864,300,0,Rural,Approved
24,29,Male,Married,Graduate,Salaried,55556,1150264,300,0,Urban,Approved
25,57,Male,Single,Graduate,Salaried,66402,401503,360,1,Semiurban,Approved
26,50,Male,Married,Graduate,Salaried,54936,1221048,180,1,Urban,Approved
27,55,Male,Single,Graduate,Self Employed,48985,273666,120,0,Rural,Approved
28,43,Male,Single,Graduate,Salaried,10169,757570,120,1,Urban,Approved
29,52,Male,Single,Not Graduate,Salaried,75719,812878,360,1,Semiurban,Approved
30,49,Female,Married,Not Graduate,Salaried,53772,683851,180,1,Semiurban,Rejected
31,56,Male,Single,Not Graduate,Salaried,19814,862122,360,1,Rural,Approved
32,55,Male,Single,Graduate,Salaried,46881,191494,120,1,Rural,Approved
33,34,Female,Married,Graduate,Salaried,22232,362923,180,0,Semiurban,Approved
34,25,Male,Single,Graduate,Salaried,16719,1030327,180,1,Semiurban,Rejected
35,27,Female,Single,Not Graduate,Salaried,41284,338234,360,1,Urban,Approved
36,22,Female,Married,Not Graduate,Salaried,36563,410293,180,0,Urban,Rejected
37,33,Female,Married,Graduate,Salaried,29654,232229,180,1,Rural,Rejected
38,56,Female,Single,Graduate,Self Employed,75463,202980,300,1,Urban,Approved
39,32,Female,Married,Not Graduate,Salaried,36563,879103,120,0,Urban,Rejected
40,44,Male,Married,Graduate,Salaried,19575,955868,240,1,Urban,Approved
41,35,Female,Married,Graduate,Salaried,78005,714456,360,0,Urban,Rejected
42,40,Male,Married,Graduate,Salaried,47297,304680,300,1,Urban,Approved
43,58,Female,Married,Graduate,Self Employed,37979,1221743,180,1,Urban,Approved
44,37,Male,Married,Graduate,Salaried,32565,1048348,240,1,Semiurban,Approved
45,49,Female,Married,Graduate,Salaried,66022,1083972,180,1,Semiurban,Rejected
46,52,Female,Married,Graduate,Salaried,67206,1255922,240,1,Urban,Approved
47,28,Female,Married,Not Graduate,Self Employed,23325,1157943,360,1,Semiurban,Approved
48,48,Male,Married,Graduate,Self Employed,64389,640264,360,1,Urban,Rejected
49,38,Male,Married,Graduate,Salaried,24116,534698,180,1,Semiurban,Approved
50,28,Male,Single,Not Graduate,Self Employed,75577,1130764,120,1,Semiurban,Rejected
51,36,Female,Single,Graduate,Salaried,18465,754614,180,0,Semiurban,Rejected
52,33,Male,Single,Graduate,Self Employed,65306,476888,240,1,Semiurban,Approved
53,29,Male,Single,Graduate,Salaried,60889,877130,300,1,Semiurban,Approved
54,23,Male,Married,Not Graduate,Salaried,10400,267663,120,0,Semiurban,Rejected
55,59,Female,Married,Graduate,Salaried,76317,1494306,240,1,Semiurban,Approved
56,47,Male,Married,Not Graduate,Salaried,61664,1427608,120,1,Urban,Rejected
57,42,Male,Married,Not Graduate,Salaried,78975,514648,120,1,Urban,Approved
58,34,Male,Married,Graduate,Self Employed,14851,265168,360,1,Urban,Approved
59,40,Male,Married,Not Graduate,Self Employed,74796,130361,120,1,Semiurban,Approved
60,39,Male,Married,Graduate,Salaried,26308,395595,360,1,Semiurban,Rejected
61,23,Female,Married,Graduate,Self Employed,73932,712516,300,0,Semiurban,Approved
62,49,Male,Married,Not Graduate,Salaried,22388,333447,120,0,Urban,Rejected
63,44,Male,Single,Graduate,Salaried,70894,1235539,300,1,Rural,Approved
64,25,Male,Married,Not Graduate,Self Employed,71119,1252562,180,1,Urban,Rejected
65,25,Female,Married,Graduate,Self Employed,65851,1477901,120,1,Semiurban,Rejected
66,33,Male,Married,Not Graduate,Salaried,60857,250325,120,1,Rural,Rejected
67,43,Female,Single,Not Graduate,Salaried,27871,576514,240,1,Semiurban,Approved
68,47,Male,Single,Graduate,Self Employed,60791,1311252,180,1,Semiurban,Approved
69,56,Male,Married,Graduate,Salaried,33167,520664,120,1,Rural,Approved
70,25,Male,Single,Graduate,Self Employed,15525,1376694,180,1,Semiurban,Rejected
71,33,Male,Single,Graduate,Salaried,71246,231747,180,1,Rural,Approved
72,25,Female,Married,Graduate,Salaried,28390,192620,360,1,Urban,Approved
73,52,Male,Single,Graduate,Salaried,27456,339864,120,1,Semiurban,Approved
74,28,Male,Single,Graduate,Salaried,74972,1394898,240,1,Urban,Approved
75,31,Male,Married,Graduate,Salaried,70000,950651,300,1,Urban,Approved
76,45,Male,Married,Graduate,Salaried,36053,1095504,120,0,Semiurban,Rejected
77,36,Female,Married,Graduate,Self Employed,12603,1312617,360,1,Urban,Approved
78,41,Male,Married,Not Graduate,Self Employed,57969,1021976,180,1,Rural,Approved
79,28,Female,Married,Graduate,Self Employed,30993,569938,120,1,Rural,Approved
80,34,Female,Married,Graduate,Self Employed,10151,1341707,240,1,Semiurban,Approved
